xvals,yvals,upper,lower,factor,group,period,first_year,last_year
8.6,0.0210733689223367,0.64120528935177,-0.599058551507096,eci,No OPEC,1991 - 2016,1991,2016
8.7,-0.0180387158909914,0.58757950651923,-0.623656938301213,eci,No OPEC,1991 - 2016,1991,2016
8.8,-0.057150800704409,0.535284647847544,-0.649586249256362,eci,No OPEC,1991 - 2016,1991,2016
8.9,-0.0962628855177544,0.484411528004611,-0.67693729904012,eci,No OPEC,1991 - 2016,1991,2016
9,-0.13537497033112,0.435047777548849,-0.70579771821109,eci,No OPEC,1991 - 2016,1991,2016
9.1,-0.174487055144483,0.387275482152953,-0.736249592441918,eci,No OPEC,1991 - 2016,1991,2016
9.2,-0.213599139957832,0.341170992972253,-0.768369272887917,eci,No OPEC,1991 - 2016,1991,2016
9.3,-0.252711224771223,0.296796554098525,-0.80221900364097,eci,No OPEC,1991 - 2016,1991,2016
9.4,-0.291823309584609,0.254202565284319,-0.837849184453537,eci,No OPEC,1991 - 2016,1991,2016
9.5,-0.330935394397985,0.213423268269849,-0.875294057065818,eci,No OPEC,1991 - 2016,1991,2016
9.6,-0.370047479211374,0.174475117147092,-0.91457007556984,eci,No OPEC,1991 - 2016,1991,2016
9.7,-0.409159564024701,0.137356618920805,-0.955675746970207,eci,No OPEC,1991 - 2016,1991,2016
9.8,-0.448271648838068,0.102047738930852,-0.998591036606987,eci,No OPEC,1991 - 2016,1991,2016
9.9,-0.487383733651413,0.0685114636351228,-1.04327893093795,eci,No OPEC,1991 - 2016,1991,2016
10,-0.526495818464755,0.0366952330300857,-1.0896868699596,eci,No OPEC,1991 - 2016,1991,2016
10.1,-0.565607903278146,0.00653312407564299,-1.13774893063193,eci,No OPEC,1991 - 2016,1991,2016
10.2,-0.604719988091485,-0.0220511757673902,-1.18738880041558,eci,No OPEC,1991 - 2016,1991,2016
10.3,-0.643832072904847,-0.049141303243345,-1.23852284256635,eci,No OPEC,1991 - 2016,1991,2016
10.4,-0.682944157718228,-0.0748258301458094,-1.29106248529065,eci,No OPEC,1991 - 2016,1991,2016
10.5,-0.722056242531568,-0.099195814839881,-1.34491667022326,eci,No OPEC,1991 - 2016,1991,2016
10.6,-0.761168327344985,-0.122342230483304,-1.39999442420667,eci,No OPEC,1991 - 2016,1991,2016
10.7,-0.800280412158335,-0.144354286380737,-1.45620653793593,eci,No OPEC,1991 - 2016,1991,2016
10.8,-0.839392496971695,-0.165318459126932,-1.51346653481646,eci,No OPEC,1991 - 2016,1991,2016
10.9,-0.878504581784964,-0.185316499077632,-1.5716926644923,eci,No OPEC,1991 - 2016,1991,2016
11,-0.917616666598333,-0.204426686670634,-1.63080664652603,eci,No OPEC,1991 - 2016,1991,2016
11.1,-0.956728751411813,-0.222721573784404,-1.69073592903922,eci,No OPEC,1991 - 2016,1991,2016
11.2,-0.99584083622511,-0.240268749329312,-1.75141292312091,eci,No OPEC,1991 - 2016,1991,2016
11.3,-1.0349529210385,-0.257130058055556,-1.81277578402144,eci,No OPEC,1991 - 2016,1991,2016
11.4,-1.07406500585182,-0.273362552785518,-1.87476745891812,eci,No OPEC,1991 - 2016,1991,2016
11.5,-1.11317709066524,-0.289018753869504,-1.93733542746097,eci,No OPEC,1991 - 2016,1991,2016
11.6,-1.15228917547865,-0.304146978793566,-2.00043137216372,eci,No OPEC,1991 - 2016,1991,2016
11.7,-1.19140126029201,-0.318790152925485,-2.06401236765854,eci,No OPEC,1991 - 2016,1991,2016
11.8,-1.23051334510535,-0.332987569904389,-2.1280391203063,eci,No OPEC,1991 - 2016,1991,2016
11.9,-1.26962542991873,-0.346776105885481,-2.19247475395198,eci,No OPEC,1991 - 2016,1991,2016
12,-1.30873751473209,-0.360188478983113,-2.25728655048107,eci,No OPEC,1991 - 2016,1991,2016
6,3.47332827241979,5.31326697686032,1.63338956797927,eci,OPEC,1991 - 2016,1991,2016
6.1,3.43421618760702,5.26253137913639,1.60590099607765,eci,OPEC,1991 - 2016,1991,2016
6.2,3.39510410279268,5.21230186587813,1.57790633970722,eci,OPEC,1991 - 2016,1991,2016
6.3,3.35599201797887,5.16254727984551,1.54943675611223,eci,OPEC,1991 - 2016,1991,2016
6.4,3.31687993316526,5.1132741201742,1.52048574615633,eci,OPEC,1991 - 2016,1991,2016
6.5,3.27776784835195,5.06450552496255,1.49103017174135,eci,OPEC,1991 - 2016,1991,2016
6.6,3.23865576353873,5.01626066663219,1.46105086044528,eci,OPEC,1991 - 2016,1991,2016
6.7,3.19954367872513,4.96851025456778,1.43057710288247,eci,OPEC,1991 - 2016,1991,2016
